source_id,ra,dec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
308256610357824640,16.41654124373291,28.491827062343326,79.92625234127838,12.949484,15.111021,11.596436,3.5145855
6709964635600548992,280.2859984119815,-43.79280811441058,79.93312282593712,14.137705,16.699154,12.72431,3.974844
5055805741577757824,52.87633565748463,-30.71257633526702,79.94684601571684,15.628402,19.028793,14.108879,4.9199142
6456884409233519360,315.805198569885,-56.96185322955984,80.02112246350178,11.549987,13.041293,10.356031,2.6852617
1149727977380998784,109.99020696216758,84.07690200527787,80.02408310271876,10.885994,12.154972,9.768253,2.3867188
2492866780297999232,33.554613532263986,-3.96280045849318,80.05476146505663,14.148209,16.665718,12.741315,3.9244032
3278325004913943808,56.83914753816445,8.693515501909106,80.0552080771202,12.960607,14.802247,11.6751175,3.1271296
5600272629670698880,118.73006937760915,-29.351037975264653,80.09774077949538,12.212433,13.105771,10.216868,2.8889027
2098413719661573248,280.4043356891839,39.702571695182044,80.10420284070563,12.17612,13.838078,10.935142,2.902936
6347643496607835520,290.23830738848443,-82.55995922053808,80.11338272909568,11.412538,12.935528,10.2091465,2.7263813
2042871958509344896,287.1236406175739,32.28000653137807,80.18352733038917,10.66505,12.061098,9.49886,2.5622377
6887025727524300416,313.911156639015,-14.067343113476475,80.20475279430592,12.900693,14.823225,11.594209,3.2290163
2635476908753563008,346.62652162764437,-5.043528319429532,80.21231612635748,15.622554,19.005802,14.103951,4.9018507
5538156819768871552,118.72808136767863,-38.1588602813617,80.25741014512566,13.508811,15.721465,12.148894,3.5725708
156150240492946816,77.66340440529314,29.78023889010632,80.33526045489403,11.322462,12.718195,10.157163,2.5610323
4705628051386514304,16.02568403467347,-65.37498961991618,80.34366954677688,12.447152,14.21399,11.18092,3.0330706
2541756977144595712,6.102300390912706,-1.9715863953017747,80.34408055734905,16.605984,20.021229,15.032356,4.9888725
167202325215063168,60.40425876511105,28.830850805459676,80.3803592551793,18.55802,21.436647,16.870361,4.566286
6381623044470172672,340.4960624875462,-75.00821792446833,80.39596371946803,13.919268,16.210314,12.550576,3.6597376
6729187672268648832,283.4183144183284,-38.616458311273774,80.41443827427436,11.327122,12.919629,10.097856,2.8217735
5600272625752039296,118.72988609267786,-29.35124237608166,80.477557931406,12.004508,13.147831,10.172776,2.9750547
5826168461855385472,238.7838064740902,-63.43251144584002,80.48541193436336,2.784391,3.1869626,2.5581625,0.62880015
3288082758293022848,73.02457095863625,6.47519220606572,80.56233030288816,10.714013,12.230651,9.507367,2.7232838
